"slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"ripple","XRP","XRP",2017-12-14,3,0.470648,0.892267,0.466401,0.864263,6358700032,18232489984,0.9342,0.43
"ripple","XRP","XRP",2017-12-15,3,0.86176,0.86176,0.666114,0.756181,3194210048,33383858176,0.4604,0.2
"ripple","XRP","XRP",2017-12-16,3,0.755493,0.815923,0.741667,0.758642,1334770048,29267144704,0.2286,0.07
"ripple","XRP","XRP",2017-12-17,3,0.754125,0.765981,0.719929,0.728366,805200000,29214173184,0.1832,0.05
"ripple","XRP","XRP",2017-12-18,3,0.728036,0.792014,0.689323,0.778407,1342720000,28203479040,0.8675,0.1
"ripple","XRP","XRP",2017-12-19,3,0.777447,0.863536,0.756724,0.791257,1449670016,30117617664,0.3233,0.11
"ripple","XRP","XRP",2017-12-20,3,0.787171,0.789044,0.730953,0.775964,1007420032,30494347264,0.7748,0.06
"ripple","XRP","XRP",2017-12-21,3,0.782515,1.24,0.782515,1.19,3626109952,30313959424,0.8907,0.46
"ripple","XRP","XRP",2017-12-22,3,1.17,1.38,0.741013,1.14,4644700160,45189533696,0.6244,0.64
"ripple","XRP","XRP",2017-12-23,3,1.17,1.21,1.08,1.17,1497590016,45167607808,0.6923,0.13
"ripple","XRP","XRP",2017-12-24,3,1.18,1.18,0.911226,1.04,754958976,45541052416,0.4791,0.27
"ripple","XRP","XRP",2017-12-25,3,1.05,1.13,1,1.12,686014016,40506048512,0.9231,0.13
"ripple","XRP","XRP",2017-12-26,3,1.12,1.19,1.09,1.19,938846976,43455410176,1,0.1
"ripple","XRP","XRP",2017-12-27,3,1.18,1.47,1.18,1.4,2854259968,45875695616,0.7586,0.29
"ripple","XRP","XRP",2017-12-28,3,1.39,1.5,1.26,1.43,2843300096,53998227456,0.7083,0.24
"ripple","XRP","XRP",2017-12-29,3,1.44,2.27,1.44,2.21,7545739776,55767523328,0.9277,0.83
"ripple","XRP","XRP",2017-12-30,3,2.2,2.85,2.04,2.16,8108389888,85187403776,0.1481,0.81
"ripple","XRP","XRP",2017-12-31,3,2.1,2.39,1.87,2.3,4642079744,81162567680,0.8269,0.52
"ripple","XRP","XRP",2018-01-01,3,2.3,2.39,2.15,2.39,1894230016,88945876992,1,0.24
"ripple","XRP","XRP",2018-01-02,3,2.37,2.49,2.25,2.48,3171010048,91791777792,0.9583,0.24
"ripple","XRP","XRP",2018-01-03,3,2.46,3.28,2.44,3.11,6635879936,95457181696,0.7976,0.84
"ripple","XRP","XRP",2018-01-04,3,3.12,3.84,3.12,3.2,8103660032,120763162624,0.1111,0.72
"ripple","XRP","XRP",2018-01-05,3,3.3,3.56,2.83,3.05,6288500224,127870451712,0.3014,0.73
"ripple","XRP","XRP",2018-01-06,3,3.02,3.24,2.99,3.09,2777560064,117032837120,0.4,0.25
"ripple","XRP","XRP",2018-01-07,3,3.09,3.49,3.08,3.38,2395150080,119818665984,0.7317,0.41
"ripple","XRP","XRP",2018-01-08,3,3.36,3.36,2.07,2.46,3315259904,130301689856,0.3023,1.29
"ripple","XRP","XRP",2018-01-09,3,2.44,2.53,1.98,2.1,3694700032,94657470464,0.2182,0.55
"ripple","XRP","XRP",2018-01-10,3,2.13,2.16,1.7,1.97,4833639936,82511036416,0.587,0.46
"ripple","XRP","XRP",2018-01-11,3,1.98,2.25,1.62,1.95,6296119808,76711796736,0.5238,0.63
"ripple","XRP","XRP",2018-01-12,3,1.94,2.16,1.87,2.04,3330810112,75172454400,0.5862,0.29
"ripple","XRP","XRP",2018-01-13,3,2.05,2.12,1.98,2.02,2130169984,79469690880,0.2857,0.14
"ripple","XRP","XRP",2018-01-14,3,2.02,2.02,1.81,1.86,1978200064,78195761152,0.2381,0.21
"ripple","XRP","XRP",2018-01-15,3,1.86,1.9,1.67,1.68,1838460032,71909433344,0.0435,0.23
"ripple","XRP","XRP",2018-01-16,3,1.68,1.7,0.909313,1.18,5687960064,65018384384,0.3423,0.79
"ripple","XRP","XRP",2018-01-17,3,1.18,1.38,0.897797,1.31,7251210240,45854703616,0.8548,0.48
"ripple","XRP","XRP",2018-01-18,3,1.31,1.73,1.26,1.6,9110439936,50577063936,0.7234,0.47
"ripple","XRP","XRP",2018-01-19,3,1.58,1.7,1.5,1.55,3697430016,61291933696,0.25,0.2
"ripple","XRP","XRP",2018-01-20,3,1.56,1.63,1.5,1.58,2346449920,60543016960,0.6154,0.13
"ripple","XRP","XRP",2018-01-21,3,1.58,1.58,1.34,1.38,2840750080,61061906432,0.1667,0.24
"ripple","XRP","XRP",2018-01-22,3,1.39,1.43,1.16,1.36,2642510080,53909807104,0.7407,0.27
"ripple","XRP","XRP",2018-01-23,3,1.35,1.43,1.2,1.34,2977080064,52421304320,0.6087,0.23
"ripple","XRP","XRP",2018-01-24,3,1.35,1.42,1.31,1.36,1853440000,52380082176,0.4545,0.11
"ripple","XRP","XRP",2018-01-25,3,1.36,1.38,1.29,1.31,986067968,52811091968,0.2222,0.09
"ripple","XRP","XRP",2018-01-26,3,1.31,1.33,1.13,1.22,2037570048,50706432000,0.45,0.2
"ripple","XRP","XRP",2018-01-27,3,1.22,1.24,1.19,1.22,689100992,47180193792,0.6,0.05
"ripple","XRP","XRP",2018-01-28,3,1.22,1.44,1.22,1.4,1327360000,47412498432,0.8182,0.22
"ripple","XRP","XRP",2018-01-29,3,1.4,1.41,1.3,1.32,1073680000,54204256256,0.1818,0.11
"ripple","XRP","XRP",2018-01-30,3,1.33,1.33,1.13,1.14,1134640000,51452428288,0.05,0.2
"ripple","XRP","XRP",2018-01-31,3,1.13,1.19,1.04,1.16,1264029952,43800784896,0.8,0.15
"ripple","XRP","XRP",2018-02-01,3,1.16,1.16,0.930378,0.96253,1410419968,44971470848,0.14,0.23
"ripple","XRP","XRP",2018-02-02,3,0.960642,0.960642,0.635185,0.884784,3529760000,37473906688,0.7669,0.33
"ripple","XRP","XRP",2018-02-03,3,0.891992,0.974799,0.761635,0.924043,1988960000,34795925504,0.7619,0.21
"ripple","XRP","XRP",2018-02-04,3,0.913418,0.952947,0.796821,0.815703,1190960000,35631726592,0.1209,0.16
"ripple","XRP","XRP",2018-02-05,3,0.825943,0.833866,0.675827,0.691799,1286179968,32219402240,0.1011,0.16
"ripple","XRP","XRP",2018-02-06,3,0.705121,0.786004,0.58836,0.776393,2361139968,27506202624,0.9514,0.2
"ripple","XRP","XRP",2018-02-07,3,0.774576,0.805478,0.70695,0.723895,1133369984,30215620608,0.172,0.1
"ripple","XRP","XRP",2018-02-08,3,0.729252,0.80697,0.722611,0.805263,947315008,28447537152,0.9798,0.08
"ripple","XRP","XRP",2018-02-09,3,0.79714,0.954428,0.77154,0.954428,1690339968,31095808000,1,0.18
"ripple","XRP","XRP",2018-02-10,3,0.947251,1.3,0.947251,1.07,4682010112,36951531520,0.348,0.35
"ripple","XRP","XRP",2018-02-11,3,1.07,1.08,0.929767,1,2555310080,41635549184,0.4675,0.15
"ripple","XRP","XRP",2018-02-12,3,1.01,1.11,1.01,1.08,1756290048,39262732288,0.7,0.1
"ripple","XRP","XRP",2018-02-13,3,1.08,1.08,1.01,1.03,921100032,42119847936,0.2857,0.07
"ripple","XRP","XRP",2018-02-14,3,1.03,1.17,1.02,1.14,1457600000,40026513408,0.8,0.15
"ripple","XRP","XRP",2018-02-15,3,1.14,1.16,1.11,1.15,1188530048,44433596416,0.8,0.05
"ripple","XRP","XRP",2018-02-16,3,1.14,1.15,1.11,1.14,568339008,44663255040,0.75,0.04
"ripple","XRP","XRP",2018-02-17,3,1.14,1.22,1.13,1.2,1186729984,44370235392,0.7778,0.09
"ripple","XRP","XRP",2018-02-18,3,1.2,1.21,1.09,1.12,1113650048,46997520384,0.25,0.12
"ripple","XRP","XRP",2018-02-19,3,1.12,1.17,1.12,1.14,556304000,43813257216,0.4,0.05
"ripple","XRP","XRP",2018-02-20,3,1.14,1.17,1.08,1.09,806673024,44648144896,0.1111,0.09
"ripple","XRP","XRP",2018-02-21,3,1.08,1.1,0.998881,1.02,871526016,42207633408,0.2089,0.1
"ripple","XRP","XRP",2018-02-22,3,1.01,1.05,0.922458,0.941788,889707008,39487447040,0.1516,0.13
"ripple","XRP","XRP",2018-02-23,3,0.934176,1.03,0.898286,0.998855,896403968,36441473024,0.7635,0.13
"ripple","XRP","XRP",2018-02-24,3,0.997659,1.01,0.929456,0.954402,489920000,39003295744,0.3097,0.08
"ripple","XRP","XRP",2018-02-25,3,0.951977,0.967597,0.915279,0.943487,360271008,37217333248,0.5392,0.05
"ripple","XRP","XRP",2018-02-26,3,0.943704,0.970906,0.913403,0.956859,458612992,36893913088,0.7557,0.06
"ripple","XRP","XRP",2018-02-27,3,0.959302,0.97258,0.944977,0.947305,312712992,37503721472,0.0843,0.03
"ripple","XRP","XRP",2018-02-28,3,0.944697,0.95555,0.903787,0.904583,329529984,36932734976,0.0154,0.05
"ripple","XRP","XRP",2018-03-01,3,0.904131,0.953796,0.89063,0.928347,475256992,35346825216,0.5971,0.06
"ripple","XRP","XRP",2018-03-02,3,0.926638,0.933912,0.902286,0.910144,271036000,36226727936,0.2485,0.03
"ripple","XRP","XRP",2018-03-03,3,0.908786,0.926512,0.903604,0.907804,280852992,35526213632,0.1833,0.02
"ripple","XRP","XRP",2018-03-04,3,0.906008,1.03,0.895618,1.01,797225984,35417632768,0.8512,0.13
"ripple","XRP","XRP",2018-03-05,3,1.01,1.08,0.956116,0.959368,1706819968,39650660352,0.0263,0.12
"ripple","XRP","XRP",2018-03-06,3,0.954448,0.991306,0.916863,0.922887,875180032,37311221760,0.0809,0.07
"ripple","XRP","XRP",2018-03-07,3,0.924378,0.930659,0.824895,0.87121,809598016,36135747584,0.4379,0.11
"ripple","XRP","XRP",2018-03-08,3,0.872508,0.888562,0.825387,0.825857,499496000,34108028928,0.0074,0.06
"ripple","XRP","XRP",2018-03-09,3,0.826122,0.856182,0.751485,0.849761,989203008,32294725632,0.9387,0.1
"ripple","XRP","XRP",2018-03-10,3,0.854872,0.860443,0.793736,0.796627,402670016,33418606592,0.0433,0.07
"ripple","XRP","XRP",2018-03-11,3,0.795765,0.840407,0.775737,0.831122,472972000,31108007936,0.8564,0.06
"ripple","XRP","XRP",2018-03-12,3,0.832127,0.838328,0.787882,0.801048,355031008,32529475584,0.261,0.05
"ripple","XRP","XRP",2018-03-13,3,0.798451,0.805729,0.778471,0.789711,279679008,31212996608,0.4124,0.03
"ripple","XRP","XRP",2018-03-14,3,0.789569,0.79908,0.67601,0.701902,479148992,30865598464,0.2104,0.12
"ripple","XRP","XRP",2018-03-15,3,0.702913,0.730673,0.643845,0.697269,888345024,27478089728,0.6153,0.09
"ripple","XRP","XRP",2018-03-16,3,0.699063,0.71178,0.674463,0.68926,502740000,27327555584,0.3965,0.04
"ripple","XRP","XRP",2018-03-17,3,0.687745,0.689434,0.626709,0.637856,319824000,26885122048,0.1777,0.06
"ripple","XRP","XRP",2018-03-18,3,0.634466,0.677591,0.548815,0.658777,923606016,24802369536,0.8539,0.13
"ripple","XRP","XRP",2018-03-19,3,0.672126,0.74908,0.640012,0.74908,1096930048,26274572288,1,0.11
"ripple","XRP","XRP",2018-03-20,3,0.736759,0.736759,0.673427,0.709808,814275968,28802932736,0.5744,0.06
"ripple","XRP","XRP",2018-03-21,3,0.713055,0.72061,0.679162,0.693664,527324000,27876229120,0.3499,0.04
"ripple","XRP","XRP",2018-03-22,3,0.693145,0.701351,0.636741,0.662743,449041984,27097866240,0.4024,0.06
"ripple","XRP","XRP",2018-03-23,3,0.663111,0.663111,0.625258,0.643174,387164000,25923799040,0.4733,0.04
"ripple","XRP","XRP",2018-03-24,3,0.646214,0.679608,0.640516,0.641265,390740000,25263249408,0.0192,0.04
"ripple","XRP","XRP",2018-03-25,3,0.638632,0.657213,0.631901,0.641875,229352000,24966815744,0.394,0.03
"ripple","XRP","XRP",2018-03-26,3,0.642683,0.644121,0.585922,0.599463,384504992,25125197824,0.2327,0.06
